artists,popularity,genres
Abdul,0,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']"
Abdul Halim Chowdhry,0,[]
Abdul Khader,0,[]
Abdulial Mahi,0,[]
Abel Zavala,54.5555555556,"['latin christian', 'latin worship', 'rap cristiano']"
Abha Mukherjee,0,[]
Abha Sarkar,0,[]
Abhayapada Chatterjee,0,[]
Abhi The Nomad,60.5,"['desi hip hop', 'vapor soul']"
Abhishek Bachchan,28.5,[]
Abhram Bhagat,0,[]
Abigail Moura,14,[]
Abir,63,['moroccan pop']
Aboriginal Songman,0,[]
Above & Beyond,43.5,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Above The Law,32,"['g funk', 'gangster rap', 'hyphy', 'west coast rap']"
Abracadabra,54,[]
Abraham Goldfaden,0,[]
Abraham Gustavito,0,[]
Abraham Vazquez,67,"['corridos tumbados', 'regional mexican pop']"
Abram Chasins,0,[]
Abrasive Wheels,26,"['oi', 'street punk', 'uk82']"
Absis,0,[]
Absofacto,74,"['indie psych-pop', 'shimmer psych']"
Abstract,59,"['hip hop', 'lgbtq+ hip hop', 'rap']"
Academia dos Renascidos,0,[]
Academy Of Choir Art Of Russia,43,[]
Academy Of London,39.5,[]
Academy of Ancient Music,48.0909090909,"['baroque ensemble', 'choral', 'classical performance', 'historically informed performance']"
Academy of St. Martin in the Fields,34.7323943662,"['chamber orchestra', 'classical', 'classical performance']"
Academy of St. Martin in the Fields Chorus,24.6666666667,[]
Acapulco Tropical,48,"['cumbia', 'cumbia sonidera', 'deep cumbia sonidera', 'grupera', 'ranchera']"
Accademia I Filarmonici,45,[]
Accept,36.2222222222,"['album rock', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']"
Acceptance,45.5,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop punk', 'screamo']"
Ace,40.5,"['florida rap', 'melodic rap', 'southern hip hop', 'trap']"
Ace Diamond,30,[]
Ace Frehley,33.5384615385,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
Ace Hood,55,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ace of Base,52.2857142857,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
Acerina Y Su Danzonera,9.2380952381,"['bolero', 'mexican rock-and-roll', 'mexican son', 'ranchera']"
Aceyalone,37.3333333333,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']"
Achille Togliani,2.3333333333,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']"
Acid Bath,34.875,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']"
Acid Ghost,54,['indie garage rock']
Acid King,44,"['doom metal', 'drone metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']"
Acker Bilk,40,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']"
Acoustic Alchemy,26.6666666667,"['british jazz', 'rumba', 'smooth jazz']"
Action Bronson,55.6666666667,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Active Child,49,"['art pop', 'chillwave', 'indietronica', 'metropopolis', 'shimmer pop', 'vapor soul']"
Ada Falcón,0,"['tango', 'tango cancion', 'vintage tango']"
Ada Moore,3,[]
Adalberto Santiago,31.1666666667,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
Adam & The Ants,39,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']"
Adam Ant,36.375,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
Adam Calhoun,61.5,"['country rap', 'military rap', 'redneck']"
Adam Caroll,0,[]
Adam Carroll,39.5,"['alternative country', 'new americana', 'roots americana', 'roots rock', 'texas country']"
Adam Chanler-Berat,44,[]
Adam Doleac,68.5,"['contemporary country', 'country pop']"
Adam Friedman,53,['la pop']
Adam Gontier,57.5,[]
Adam Gussow,37,['harmonica blues']
Adam Hicks,56.2857142857,['post-teen pop']
Adam Hood,38,"['roots americana', 'texas country']"
Adam Jacobs,50,"['broadway', 'hollywood', 'movie tunes', 'show tunes']"
Adam Jensen,65,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
Adam K & Soha,55,['canadian electronic']
Adam Lambert,60.8,"['dance pop', 'idol', 'pop', 'post-teen pop']"
Adam Levine,60.5,['pop rock']
Adam Melchor,63,"['indie pop', 'new jersey indie']"
Adam Pascal,44.6842105263,"['broadway', 'hollywood', 'show tunes']"
Adam Plack,46,[]
Adam Riegler,44,[]
Adam Sandler,38,"['comedy', 'comic']"
Adamski,54,"['acid house', 'hip house']"
Adan Chalino Sanchez,45.3333333333,"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
Adan Romero,64,"['banda', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican']"
Adan Sanchez,44,"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
Adelaide Van Wey,0,['american folk revival']
Adele,60.4761904762,"['british soul', 'pop', 'uk pop']"
Adele Kern,0.1111111111,[]
Adelina Fernandes,0,[]
Adelitas Way,52.7142857143,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
Adelmar Borrego,69,[]
Adem,45,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
Adema,49.3333333333,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
Adeva,38,[]
Adhir Bagchi,0,[]
Adiemus,51.5,['new age']
Adina Howard,56,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
Adinath Mangeshkar,1,[]
Adje,72,"['dutch hip hop', 'dutch trap pop']"
Admiral Bailey,44,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']"
Adnia Rice,30,[]
Adolescent's Orquesta,60.1111111111,"['latin', 'perreo', 'salsa', 'salsa venezolana', 'tropical']"
Adolescents,32,"['latin', 'perreo', 'salsa', 'salsa venezolana', 'tropical']"
Adolf Busch,0,[]
Adolf Stark and Aino Karelia,0,[]
Adolfo Berón,0.375,['guitarra argentina']
Adolfo Echeverria,29,[]
Adolph Baller,0.1666666667,[]
Adolph Deutsch,6.2424242424,['classic soundtrack']
Adolph Green,1.8571428571,[]
Adolphe Adam,22.25,"['early romantic era', 'french opera']"
Adolphe Bérard,0,[]
Adrian Charras,0,[]
Adrian Delgado,58,[]
Adrian Gurvitz,47,['yacht rock']
Adrian Marcel,59,['deep pop r&b']
Adrian Zmed,38,[]
Adriana Calcanhotto,57,"['baile pop', 'bossa nova', 'mpb', 'nova mpb']"
Adriana Caselotti,38.25,['movie tunes']
Adriana Chamorro,0,[]
Adriana Lazzarini,12,['italian mezzo-soprano']
Adriana Proenza,84,['spanish indie pop']
Adrianna Caselotti,35,[]
